Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Phosphorus_High_%,Phosphorus_Medium_%,Potassium_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Season_Rabi       ,Season_Summer     ,Season_Whole Year ,Yield (t/ha)
2012,25.78165046296297,71.97,818844.0,1683.3,56.7,37.11,46.73,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,5430.0,True,False,False,2.660769231
2012,28.204944444444447,299.4,762595.6,1567.67,56.7,37.11,46.73,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,5057.0,False,True,False,2.784
2013,25.24325,5089.7,10936592.59,20436.57,56.7,37.11,46.73,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,75691.0,False,False,False,1.309310345
2013,25.87245833333333,73.6,964037.28,1801.44,56.7,37.11,46.73,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,6672.0,True,False,False,1.907931034
2013,28.72975,331.9,955223.39,1784.97,56.7,37.11,46.73,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,6611.0,False,True,False,2.763076923
2014,25.42083333333333,4439.900000000001,12346565.52,26989.71,56.7,37.11,46.73,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,81787.0,False,False,False,1.257857143
2014,25.667777777777776,58.0,1183828.32,2587.86,56.7,37.11,46.73,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,7842.0,True,False,False,1.874137931
2014,28.261666666666667,519.0,878587.2,1920.6,56.7,37.11,46.73,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,5820.0,False,True,False,1.929166667
2015,25.2925,3490.8,14022250.09,29303.67,56.7,37.11,46.73,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,88799.0,False,False,False,1.017586207
2015,25.73708333333333,90.9,1222855.04,2555.52,56.7,37.11,46.73,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,7744.0,True,False,False,2.112592593
2015,28.16541666666667,524.4,907508.77,1896.51,56.7,37.11,46.73,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,5747.0,False,True,False,1.8928
2016,25.33375,3465.2,17493794.0,39953.2,56.7,37.11,46.73,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,114152.0,False,False,False,1.907931034
2016,25.907083333333333,14.7,1376491.5,3143.7,56.7,37.11,46.73,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,8982.0,True,False,False,2.156153846
2016,28.883333333333336,259.9,684721.0,1563.8,56.7,37.11,46.73,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,4468.0,False,True,False,2.288461538
2017,25.29458333333333,3778.9,13042959.36,31480.72,56.7,37.11,46.73,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,82844.0,False,False,False,1.775862069
2017,25.716944444444447,36.1,1626040.32,3924.64,56.7,37.11,46.73,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,10328.0,True,False,False,2.047692308
2017,28.60625,368.2,1127900.16,2722.32,56.7,37.11,46.73,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,7164.0,False,True,False,2.0472
2018,25.070833333333336,3778.9,25560611.4,55155.45,56.7,37.11,46.73,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,157587.0,False,False,False,1.162941176
2019,25.296666666666667,3778.9,12723637.28,27408.86,56.7,37.11,46.73,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,74078.0,False,False,False,1.992352941
1999,25.515954861111112,5590.3,18688643.96,47544.84,56.7,37.11,46.73,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,176092.0,False,False,True,1.182307692
2002,25.37409027777778,4079.4,14721090.33,38874.75,56.7,37.11,46.73,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,155499.0,False,False,True,1.266666667
