Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_Medium_%,Phosphorus_Medium_%,Potassium_Low_%,Organic_Carbon_High_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Season_Rabi       ,Yield (t/ha)
2019,26.943188405797105,38.8,78765529.04,169674.23,23.8,32.59,8.73,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,458579.0,True,1.443636364
1997,26.713014492753626,118.9,13951922.0,45446.0,23.8,32.59,8.73,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,146600.0,True,0.338
1998,28.9921195652174,2317.2,9880.0,29.0,23.8,32.59,8.73,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,100.0,False,1.0
1998,26.433572463768115,123.2,14405040.0,42282.0,23.8,32.59,8.73,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,145800.0,True,0.95375
2004,28.64654347826087,1420.1999999999998,12025.74,23.31,23.8,32.59,8.73,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,111.0,False,0.885
2004,26.405787439613523,136.0,36968641.52,71657.88,23.8,32.59,8.73,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,341228.0,True,1.09
2007,26.76317149758454,5.899999999999999,84042000.0,100800.0,23.8,32.59,8.73,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,630000.0,True,1.28
2013,28.44332608695652,2047.2000000000005,7802.46,14.58,23.8,32.59,8.73,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,54.0,False,1.35
2013,27.014550724637683,106.8,16381409.26,30610.98,23.8,32.59,8.73,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,113374.0,True,1.525555556
2014,26.80463768115942,85.5,8957513.52,19581.21,23.8,32.59,8.73,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,59337.0,True,1.283333333
2015,26.92608695652174,83.9,11029381.86,23049.18,23.8,32.59,8.73,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,69846.0,True,0.917777778
2016,27.209130434782605,27.700000000000003,15544300.75,35500.85,23.8,32.59,8.73,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,101431.0,True,1.324827586
2017,28.681304347826085,1841.0,157.44,0.38,23.8,32.59,8.73,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,1.0,False,1.0
2017,26.97188405797101,38.8,15341268.48,37027.96,23.8,32.59,8.73,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,97442.0,True,1.520666667
2018,26.912173913043475,38.8,16932220.2,36536.85,23.8,32.59,8.73,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,104391.0,True,1.575
2019,26.943188405797105,38.8,22314028.64,48068.18,23.8,32.59,8.73,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,129914.0,True,1.475333333
1999,26.880756038647345,23.3,17295050.93,43999.47,23.8,32.59,8.73,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,162961.0,True,0.824761905
