Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_High_%,Nitrogen_Medium_%,Phosphorus_Medium_%,Potassium_High_%,Organic_Carbon_Medium_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Season_Rabi       ,Season_Summer     ,Season_Whole Year ,Yield (t/ha)
2014,24.854285714285712,6.4,12026077.44,26289.12,1.63,19.62,16.35,67.1,34.35,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,79664.0,True,False,False,1.969375
2014,28.82238095238095,4.9,889154.4,1943.7,1.63,19.62,16.35,67.1,34.35,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,5890.0,False,True,False,1.847857143
2015,28.56,1036.0,46992121.08,98204.04,1.63,19.62,16.35,67.1,34.35,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,297588.0,False,False,False,1.486818182
2015,24.838095238095235,13.2,13945190.01,29142.63,1.63,19.62,16.35,67.1,34.35,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,88311.0,True,False,False,2.075714286
2015,28.81142857142857,9.3,950934.02,1987.26,1.63,19.62,16.35,67.1,34.35,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,6022.0,False,True,False,2.067272727
2016,28.60142857142857,1113.7,49251331.75,112482.65,1.63,19.62,16.35,67.1,34.35,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,321379.0,False,False,False,1.789545455
2016,24.97746031746032,0.8999999999999999,17956149.25,41009.15,1.63,19.62,16.35,67.1,34.35,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,117169.0,True,False,False,2.16
2016,29.20619047619048,1.5,1733410.75,3958.85,1.63,19.62,16.35,67.1,34.35,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,11311.0,False,True,False,2.081428571
2017,28.55952380952381,1643.4,47671257.6,115060.2,1.63,19.62,16.35,67.1,34.35,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,302790.0,False,False,False,1.676363636
2017,24.96984126984127,0.1,14572331.52,35172.04,1.63,19.62,16.35,67.1,34.35,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,92558.0,True,False,False,2.460952381
2017,29.123809523809523,0.3,729891.84,1761.68,1.63,19.62,16.35,67.1,34.35,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,4636.0,False,True,False,2.028888889
2018,27.940952380952385,1643.4,50368939.2,108687.6,1.63,19.62,16.35,67.1,34.35,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,310536.0,False,False,False,1.835238095
2018,24.909047619047623,0.1,15505995.6,33459.3,1.63,19.62,16.35,67.1,34.35,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,95598.0,True,False,False,2.710526316
2018,29.123809523809523,0.3,501198.0,1081.5,1.63,19.62,16.35,67.1,34.35,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,3090.0,False,True,False,1.765
2019,28.38047619047619,1643.4,51614395.28,111186.11,1.63,19.62,16.35,67.1,34.35,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,300503.0,False,False,False,1.603636364
2019,24.750793650793653,0.1,22731061.92,48966.54,1.63,19.62,16.35,67.1,34.35,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,132342.0,True,False,False,2.556190476
2019,29.155238095238094,0.3,947428.16,2040.92,1.63,19.62,16.35,67.1,34.35,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,5516.0,False,True,False,2.189
