Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_Medium_%,Phosphorus_Medium_%,Potassium_Low_%,Organic_Carbon_High_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Season_Rabi       ,Yield (t/ha)
1997,28.508206521739133,1631.1,16140832.0,52576.0,23.8,32.59,8.73,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,169600.0,False,0.241666667
1998,28.9921195652174,2317.2,20125560.0,59073.0,23.8,32.59,8.73,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,203700.0,False,0.266
2004,28.64654347826087,1420.1999999999998,29425144.0,57036.0,23.8,32.59,8.73,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,271600.0,False,0.484444444
2007,28.261532608695653,2337.6,26546600.0,31840.0,23.8,32.59,8.73,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,199000.0,False,0.563636364
2013,28.44332608695652,2047.2000000000005,11338852.75,21188.25,23.8,32.59,8.73,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,78475.0,False,0.60625
2013,27.014550724637683,106.8,196217.42,366.66,23.8,32.59,8.73,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,1358.0,True,0.713333333
2014,28.74739130434783,1411.6,7505278.32,16406.61,23.8,32.59,8.73,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,49717.0,False,0.474285714
2014,26.80463768115942,85.5,150960.0,330.0,23.8,32.59,8.73,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,1000.0,True,0.5025
2015,28.68826086956522,1859.7,7480670.43,15633.09,23.8,32.59,8.73,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,47373.0,False,0.34875
2015,26.92608695652174,83.9,94903.91,198.33,23.8,32.59,8.73,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,601.0,True,0.338
2016,28.707391304347823,1961.1,6810736.5,15554.7,23.8,32.59,8.73,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,44442.0,False,0.538333333
2016,27.209130434782605,27.700000000000003,71414.5,163.1,23.8,32.59,8.73,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,466.0,True,0.521666667
2017,28.681304347826085,1841.0,4388797.44,10592.88,23.8,32.59,8.73,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,27876.0,False,0.93
2017,26.97188405797101,38.8,46287.36,111.72,23.8,32.59,8.73,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,294.0,True,0.92375
2018,28.380869565217395,1841.0,3161115.8,6821.15,23.8,32.59,8.73,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,19489.0,False,0.724
2018,26.912173913043475,38.8,75098.6,162.05,23.8,32.59,8.73,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,463.0,True,0.785555556
2019,28.695652173913043,1841.0,4452190.96,9590.77,23.8,32.59,8.73,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,25921.0,False,1.277222222
2019,26.943188405797105,38.8,351420.96,757.02,23.8,32.59,8.73,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,2046.0,True,1.235714286
1999,28.08171739130435,1538.9,28024793.93,71296.47,23.8,32.59,8.73,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,264061.0,False,0.212631579
