Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Phosphorus_Medium_%,Potassium_High_%,Potassium_Low_%,Organic_Carbon_High_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Season_Rabi       ,Yield (t/ha)
1999,30.233085714285718,1848.3,27699.93,70.47,63.87,10.56,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,261.0,False,0.38
2000,29.88016785714285,1890.7000000000005,23069.95,61.1,63.87,10.56,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,235.0,False,0.32
2001,30.09072857142857,1832.4,12459.86,31.72,63.87,10.56,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,122.0,False,0.49
2002,30.61129642857144,1361.9,8046.95,21.25,63.87,10.56,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,85.0,False,0.48
2002,22.34032142857143,149.8,22965616.62,60646.5,63.87,10.56,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,242586.0,True,2.107536232
2004,22.55540634920635,71.6,22656710.84,43916.46,63.87,10.56,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,209126.0,True,1.896285714
2005,22.78578095238095,168.4,25748862.64,45090.57,63.87,10.56,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,214717.0,True,1.887285714
2007,29.986275000000003,1388.0999999999997,10005.0,12.0,63.87,10.56,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,75.0,False,2.61
2008,30.54742857142857,2284.7,10298.88,6.48,63.87,10.56,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,72.0,False,2.81
2009,30.661889285714285,1287.4000000000003,11842.32,12.92,63.87,10.56,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,76.0,False,2.82
