Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Phosphorus_High_%,Phosphorus_Medium_%,Potassium_Medium_%,Organic_Carbon_High_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Season_Rabi       ,Yield (t/ha)
2011,25.4684212962963,59.1,19041160.8,37509.45,56.7,37.11,46.73,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,113665.0,True,0.464285714
2012,25.054541666666665,3737.9,9632651.6,19801.87,56.7,37.11,46.73,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,63877.0,False,0.419230769
2012,25.78165046296297,71.97,20504728.4,42151.63,56.7,37.11,46.73,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,135973.0,True,0.368518519
2013,25.24325,5089.7,8692373.91,16242.93,56.7,37.11,46.73,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,60159.0,False,0.537777778
2013,25.87245833333333,73.6,14870477.33,27787.59,56.7,37.11,46.73,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,102917.0,True,0.492592593
2014,25.42083333333333,4439.900000000001,8701485.36,19021.53,56.7,37.11,46.73,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,57641.0,False,0.4912
2014,25.667777777777776,58.0,18547247.52,40544.46,56.7,37.11,46.73,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,122862.0,True,0.525384615
2015,25.2925,3490.8,8482609.38,17726.94,56.7,37.11,46.73,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,53718.0,False,0.4544
2015,25.73708333333333,90.9,17747504.9,37088.7,56.7,37.11,46.73,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,112390.0,True,0.461153846
2016,25.33375,3465.2,5446658.25,12439.35,56.7,37.11,46.73,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,35541.0,False,0.521666667
2016,25.907083333333333,14.7,13525998.25,30891.35,56.7,37.11,46.73,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,88261.0,True,0.131153846
2017,25.29458333333333,3778.9,7459979.52,18005.54,56.7,37.11,46.73,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,47383.0,False,0.74
2017,25.716944444444447,36.1,19799339.52,47788.04,56.7,37.11,46.73,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,125758.0,True,0.587692308
2018,25.070833333333336,3778.9,6096935.8,13156.15,56.7,37.11,46.73,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,37589.0,False,0.450740741
2018,25.701944444444447,36.1,23827504.4,51415.7,56.7,37.11,46.73,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,146902.0,True,0.487307692
2019,25.296666666666667,3778.9,16093740.24,34668.63,56.7,37.11,46.73,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,93699.0,False,0.775185185
2019,25.749166666666667,36.1,13090173.12,28198.44,56.7,37.11,46.73,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,76212.0,True,0.6675
1999,24.90653125,4161.5,14922833.17,37964.43,56.7,37.11,46.73,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,140609.0,False,0.4468
1999,25.67600462962963,11.0,22459442.86,57137.94,56.7,37.11,46.73,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,211622.0,True,0.370434783
2002,24.7044375,2992.8,12589027.26,33244.5,56.7,37.11,46.73,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,132978.0,False,0.426666667
2002,25.585405092592595,40.0,19135647.1,50532.5,56.7,37.11,46.73,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,202130.0,True,0.408333333
